x,y,s,Bx,By,Bs
-3.799999999999999906e-02,0.000000000000000000e+00,-9.663760649796326874e-01,0.000000000000000000e+00,1.107839672913974306e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.653760649796327975e-01,0.000000000000000000e+00,1.171206027004335172e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.643760649796329076e-01,0.000000000000000000e+00,1.237916211789891552e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.633760649796330178e-01,0.000000000000000000e+00,1.308130504077461510e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.623760649796331279e-01,0.000000000000000000e+00,1.382015995966952445e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.613760649796332380e-01,0.000000000000000000e+00,1.459746841858965478e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.603760649796333482e-01,0.000000000000000000e+00,1.541504512492241380e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.593760649796334583e-01,0.000000000000000000e+00,1.627478056133255966e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.583760649796335684e-01,0.000000000000000000e+00,1.717864367039498540e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.573760649796336786e-01,0.000000000000000000e+00,1.812868461316477856e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.563760649796337887e-01,0.000000000000000000e+00,1.912703760288293595e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.553760649796338988e-01,0.000000000000000000e+00,2.017592381499835582e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.543760649796340090e-01,0.000000000000000000e+00,2.127765437467658397e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.533760649796341191e-01,0.000000000000000000e+00,2.243463342295000823e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.523760649796342292e-01,0.000000000000000000e+00,2.364936126265002280e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.513760649796343394e-01,0.000000000000000000e+00,2.492443758524610038e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.503760649796344495e-01,0.000000000000000000e+00,2.626256477969301033e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.493760649796345596e-01,0.000000000000000000e+00,2.766655132437547571e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.483760649796346698e-01,0.000000000000000000e+00,2.913931526321480738e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.473760649796347799e-01,0.000000000000000000e+00,3.068388776697435993e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.463760649796348901e-01,0.000000000000000000e+00,3.230341678079229773e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.453760649796350002e-01,0.000000000000000000e+00,3.400117075892723241e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.443760649796351103e-01,0.000000000000000000e+00,3.578054248769028564e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.433760649796352205e-01,0.000000000000000000e+00,3.764505299749887557e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.423760649796353306e-01,0.000000000000000000e+00,3.959835556496936013e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.413760649796354407e-01,0.000000000000000000e+00,4.164423980592350100e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.403760649796355509e-01,0.000000000000000000e+00,4.378663586016428144e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.393760649796356610e-01,0.000000000000000000e+00,4.602961866883127739e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.383760649796357711e-01,0.000000000000000000e+00,4.837741234512585101e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.373760649796358813e-01,0.000000000000000000e+00,5.083439463914606702e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.363760649796359914e-01,0.000000000000000000e+00,5.340510149754666777e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.353760649796361015e-01,0.000000000000000000e+00,5.609423171869600778e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.343760649796362117e-01,0.000000000000000000e+00,5.890665170395922531e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.333760649796363218e-01,0.000000000000000000e+00,6.184740030571404186e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.323760649796364319e-01,0.000000000000000000e+00,6.492169377263279495e-06,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.313760649796365421e-01,0.000000000000000000e+00,6.813493079275607639e-06,0.000000000000000000e+00
